label,train_rmse,train_mae,train_r2,train_pcc,test_rmse,test_mae,test_r2,test_pcc
khopgnn_gcn_1,0.812 ± 0.102,0.342 ± 0.049,0.982 ± 0.005,0.991 ± 0.002,1.564 ± 0.382,0.669 ± 0.135,0.930 ± 0.032,0.965 ± 0.016
khopgnn_gcn_2,0.783 ± 0.130,0.336 ± 0.051,0.983 ± 0.006,0.992 ± 0.003,1.488 ± 0.357,0.647 ± 0.119,0.937 ± 0.030,0.968 ± 0.015
khopgnn_gcn_3,0.793 ± 0.145,0.335 ± 0.070,0.983 ± 0.006,0.991 ± 0.003,1.413 ± 0.301,0.615 ± 0.100,0.944 ± 0.022,0.972 ± 0.011
khopgnn_gin_1,0.820 ± 0.097,0.361 ± 0.047,0.982 ± 0.004,0.991 ± 0.002,1.605 ± 0.348,0.706 ± 0.122,0.928 ± 0.028,0.964 ± 0.014
khopgnn_gin_2,0.711 ± 0.137,0.319 ± 0.067,0.986 ± 0.005,0.993 ± 0.003,1.506 ± 0.374,0.644 ± 0.124,0.936 ± 0.029,0.968 ± 0.014
khopgnn_gin_3,0.742 ± 0.113,0.349 ± 0.061,0.985 ± 0.005,0.993 ± 0.002,1.449 ± 0.326,0.665 ± 0.094,0.941 ± 0.025,0.970 ± 0.013
khopgnn_graphsage_1,0.892 ± 0.117,0.405 ± 0.068,0.978 ± 0.006,0.989 ± 0.003,1.579 ± 0.367,0.723 ± 0.135,0.929 ± 0.031,0.965 ± 0.016
khopgnn_graphsage_2,0.725 ± 0.105,0.312 ± 0.050,0.986 ± 0.004,0.993 ± 0.002,1.540 ± 0.355,0.667 ± 0.121,0.933 ± 0.030,0.967 ± 0.014
khopgnn_graphsage_3,0.726 ± 0.113,0.331 ± 0.059,0.985 ± 0.005,0.993 ± 0.002,1.463 ± 0.382,0.655 ± 0.134,0.939 ± 0.031,0.970 ± 0.015
khopgnn_mpnn_1,0.829 ± 0.079,0.347 ± 0.049,0.981 ± 0.004,0.991 ± 0.002,1.540 ± 0.387,0.676 ± 0.136,0.932 ± 0.034,0.967 ± 0.016
khopgnn_mpnn_2,0.710 ± 0.091,0.308 ± 0.046,0.986 ± 0.003,0.993 ± 0.002,1.474 ± 0.328,0.632 ± 0.106,0.939 ± 0.027,0.969 ± 0.013
khopgnn_mpnn_3,0.722 ± 0.055,0.304 ± 0.032,0.986 ± 0.002,0.993 ± 0.001,1.474 ± 0.385,0.632 ± 0.107,0.938 ± 0.033,0.969 ± 0.016
